sample;annotation
2015 g;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
100rg;[(0, 5, 'B-VOLUME')]
100 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
390 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200г;[(0, 4, 'B-VOLUME')]
35 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
300 Г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
375 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
115g;[(0, 4, 'B-VOLUME')]
330ml;[(0, 5, 'B-VOLUME')]
250 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
250 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
800 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
465g;[(0, 4, 'B-VOLUME')]
460 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
175г;[(0, 4, 'B-VOLUME')]
125 гр;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
250 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
260g;[(0, 4, 'B-VOLUME')]
300 гр;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
1 L;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
500 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
330 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0.95 л;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
100 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
83 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
300g;[(0, 4, 'B-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
380 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
1 kg;[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME')]
375 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1,5 л;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
10g;[(0, 3, 'B-VOLUME')]
60 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
380 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1kg;[(0, 3, 'B-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
320г;[(0, 4, 'B-VOLUME')]
370 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
900 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1,2 л;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
403 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
200 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
2 л;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
300 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
25 x 1,8 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME'), (5, 8, 'B-VOLUME'), (9, 10, 'I-VOLUME')]
950 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
950 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
280 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200ml;[(0, 5, 'B-VOLUME')]
800 мл, 750 г;[(8, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME')]
185g;[(0, 4, 'B-VOLUME')]
0.5l;[(0, 4, 'B-VOLUME')]
500 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
2л;[(0, 2, 'B-VOLUME')]
290 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
35 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
168 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
65 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
135 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
115 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
350 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
190 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60г;[(0, 3, 'B-VOLUME')]
112 гр;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
1L;[(0, 2, 'B-VOLUME')]
95g;[(0, 3, 'B-VOLUME')]
110g;[(0, 4, 'B-VOLUME')]
290g;[(0, 4, 'B-VOLUME')]
200g;[(0, 4, 'B-VOLUME')]
100 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400g;[(0, 4, 'B-VOLUME')]
270ml;[(0, 5, 'B-VOLUME')]
290g;[(0, 4, 'B-VOLUME')]
1L;[(0, 2, 'B-VOLUME')]
36g;[(0, 3, 'B-VOLUME')]
290g;[(0, 4, 'B-VOLUME')]
130г;[(0, 4, 'B-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
36g;[(0, 3, 'B-VOLUME')]
450 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
150 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
90 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
340 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
330 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1L;[(0, 2, 'B-VOLUME')]
1.5L;[(0, 4, 'B-VOLUME')]
235 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
150g;[(0, 4, 'B-VOLUME')]
90г;[(0, 3, 'B-VOLUME')]
0.5 l;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
300 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 гр;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
135 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1l;[(0, 2, 'B-VOLUME')]
125g;[(0, 4, 'B-VOLUME')]
330g;[(0, 4, 'B-VOLUME')]
0.95l;[(0, 5, 'B-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
450 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0.95l;[(0, 5, 'B-VOLUME')]
1410 ml;[(0, 4, 'B-VOLUME'), (5, 7, 'I-VOLUME')]
0.5 l;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0,5 l;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
140g;[(0, 4, 'B-VOLUME')]
20 шт;[(0, 2, 'B-VOLUME'), (3, 5, 'I-VOLUME')]
290g;[(0, 4, 'B-VOLUME')]
65 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
0.5 l;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
135 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
350g;[(0, 4, 'B-VOLUME')]
45g;[(0, 3, 'B-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
400 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
125g;[(0, 4, 'B-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1000 г;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
1 l;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
1 l;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
900 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1 л;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
65 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
410 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
350 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0.75 л;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
1,080kg (12×90g);[(0, 7, 'B-VOLUME')]
380 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
240 гр;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
420 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500g;[(0, 4, 'B-VOLUME')]
500g;[(0, 4, 'B-VOLUME')]
310 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
10 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
7 г;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
7 г;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
350 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
170 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
170 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
175 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
300 мл;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
400 грамм;[(0, 3, 'B-VOLUME'), (4, 9, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500g;[(0, 4, 'B-VOLUME')]
280 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200g;[(0, 4, 'B-VOLUME')]
140 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
125g;[(0, 4, 'B-VOLUME')]
250 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0.5l;[(0, 4, 'B-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
300g;[(0, 4, 'B-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60ml;[(0, 4, 'B-VOLUME')]
150 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0.5 l;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400g;[(0, 4, 'B-VOLUME')]
1 l;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
300 г.;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
200 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
250 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
140 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1 kg;[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME')]
450 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100g;[(0, 4, 'B-VOLUME')]
1 l;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
450 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
0.5 l;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
70 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
70 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
30 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
1.5 l;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
40 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
350 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
360 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1 л;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
90 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
85 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
720 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
125 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0,27 кг;[(0, 4, 'B-VOLUME'), (5, 7, 'I-VOLUME')]
1463 g;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
770 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
121 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
90 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
350 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
70 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
90 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
475 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
475 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0.5l;[(0, 4, 'B-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
250 мл;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
400 гр.;[(0, 3, 'B-VOLUME'), (4, 7, 'I-VOLUME')]
350 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
160 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
380 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
450 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
450 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500 мл;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
280 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
180 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
25 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
250 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
16 fl 473 ml;[(6, 9, 'B-VOLUME'), (10, 12, 'I-VOLUME')]
144 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
162 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
25 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
310 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1000 г;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
330 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
330 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
220 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
нетто: 355 г, основного продукта: 180 г;[(34, 37, 'B-VOLUME'), (38, 39, 'I-VOLUME')]
250 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
800 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
280 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
24 шт, 16 г нетто;[(7, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
Масса нетто: 400 г. Массовая доля основного продукта: 200 г.;[(13, 16, 'B-VOLUME'), (17, 19, 'I-VOLUME'), (54, 57, 'B-VOLUME'), (58, 60, 'I-VOLUME')]
Масса нетто: 350 г, масса основного продукта: 180 г;[(46, 49, 'B-VOLUME'), (50, 51, 'I-VOLUME')]
20 пак × 2 г;[(0, 2, 'B-VOLUME'), (3, 6, 'I-VOLUME'), (9, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]
450 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
50 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
1l;[(0, 2, 'B-VOLUME')]
13 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
40g;[(0, 3, 'B-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
350 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
410g;[(0, 4, 'B-VOLUME')]
Объем: 420 мл. Масса нетто: 400 г. Масса основного продукта: 240 г.;[(7, 10, 'B-VOLUME'), (11, 14, 'I-VOLUME'), (28, 31, 'B-VOLUME'), (32, 34, 'I-VOLUME'), (61, 64, 'B-VOLUME'), (65, 67, 'I-VOLUME')]
1 шт (2,5 кг);[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME')]
100 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
60g;[(0, 3, 'B-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
2 л;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
170 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
Объем: 750 мл. Масса нетто: 741 г.;[(7, 10, 'B-VOLUME'), (11, 14, 'I-VOLUME'), (28, 31, 'B-VOLUME'), (32, 34, 'I-VOLUME')]
498 г, 2 шт;[(7, 8, 'B-VOLUME'), (9, 11, 'I-VOLUME')]
510 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
320 г (4 шт. по 80 г);[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
375 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
80 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
Масса нетто: 420 г. Масса основного продукта: 231 г.;[(13, 16, 'B-VOLUME'), (17, 19, 'I-VOLUME'), (46, 49, 'B-VOLUME'), (50, 52, 'I-VOLUME')]
170 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
235 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
280 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
10 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
520 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
20 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
1000ml;[(0, 6, 'B-VOLUME')]
170гр;[(0, 5, 'B-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
82 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
130 г (нетто), 50 г (основной продукт);[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME'), (15, 17, 'B-VOLUME'), (18, 19, 'I-VOLUME')]
130 г (нетто), 55 г (основной продукт);[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME'), (15, 17, 'B-VOLUME'), (18, 19, 'I-VOLUME')]
2l;[(0, 2, 'B-VOLUME')]
480ml;[(0, 5, 'B-VOLUME')]
172 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
450 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
260 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
160 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
300 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
0.58 кг;[(0, 4, 'B-VOLUME'), (5, 7, 'I-VOLUME')]
276 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
680г;[(0, 4, 'B-VOLUME')]
90 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
0,45 л;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100 гр.;[(0, 3, 'B-VOLUME'), (4, 7, 'I-VOLUME')]
0,449 л;[(0, 5, 'B-VOLUME'), (6, 7, 'I-VOLUME')]
0,449 л;[(0, 5, 'B-VOLUME'), (6, 7, 'I-VOLUME')]
400 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
130 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
232g;[(0, 4, 'B-VOLUME')]
1000г;[(0, 5, 'B-VOLUME')]
100 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
25 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
700 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
900 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
200 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
350 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
280 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1litr;[(0, 5, 'B-VOLUME')]
1 l;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
400 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400 гр;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
230q;[(0, 4, 'B-VOLUME')]
50 g.;[(0, 2, 'B-VOLUME'), (3, 5, 'I-VOLUME')]
1000 г;[(0, 4, 'B-VOLUME'), (5, 6, 'I-VOLUME')]
90 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
0.45л;[(0, 5, 'B-VOLUME')]
0.5л;[(0, 4, 'B-VOLUME')]
580мл;[(0, 5, 'B-VOLUME')]
1 л;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
50g;[(0, 3, 'B-VOLUME')]
58 g;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
200 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
250 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
880 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
47 гр;[(0, 2, 'B-VOLUME'), (3, 5, 'I-VOLUME')]
1 l;[(0, 1, 'B-VOLUME'), (2, 3, 'I-VOLUME')]
1 шт;[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME')]
40 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
150 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
10 штук;[(0, 2, 'B-VOLUME'), (3, 7, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
75 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
200 ml;[(0, 3, 'B-VOLUME'), (4, 6, 'I-VOLUME')]
1 шт;[(0, 1, 'B-VOLUME'), (2, 4, 'I-VOLUME')]
300 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
500 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
180 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
30 г;[(0, 2, 'B-VOLUME'), (3, 4, 'I-VOLUME')]
400 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
1kg;[(0, 3, 'B-VOLUME')]
370 г;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
100г;[(0, 4, 'B-VOLUME')]
100 g;[(0, 3, 'B-VOLUME'), (4, 5, 'I-VOLUME')]
